PDBchain   len  method   resol   rfac  freerfac
3ISAA      254  XRAY      1.76  0.167  0.208
3VV3A      334  XRAY      1.76  0.168  0.195
4XHFA      260  XRAY      1.76  0.168  0.202
6NJYA      248  XRAY      1.76  0.168  0.198
2P3PA      207  XRAY      1.76  0.168  0.226
4GRFA      152  XRAY      1.76  0.168   0.21
4RK6A      287  XRAY      1.76  0.169  0.198
6KNHA      406  XRAY      1.76   0.17  0.188
3IRSA      291  XRAY      1.76   0.17  0.214
5IJWA      279  XRAY      1.76   0.17  0.205
4JDPA      287  XRAY      1.76  0.171  0.206
3F9SA      146  XRAY      1.76  0.172  0.208
4R1HA      128  XRAY      1.76  0.172  0.209
2QHQA      125  XRAY      1.76  0.172  0.209
5DN8A      446  XRAY      1.76  0.173  0.204
5YLYA      292  XRAY      1.76  0.173   0.19
6WAOA      434  XRAY      1.76  0.174  0.212
3G5JA      134  XRAY      1.76  0.174  0.198
3BWUC      205  XRAY      1.76  0.175  0.212
3BWUF      142  XRAY      1.76  0.175  0.212
3BWUD      125  XRAY      1.76  0.175  0.212
7V1XA      460  XRAY      1.76  0.176   0.21
5LHJA      504  XRAY      1.76  0.177  0.191
3RLKA      192  XRAY      1.76  0.177  0.242
7LJOA      341  XRAY      1.76  0.179  0.195
1TE2A      226  XRAY      1.76  0.179   0.22
3C7TA      263  XRAY      1.76  0.182  0.211
3IIJA      180  XRAY      1.76  0.182  0.195
5YADA       75  XRAY      1.76  0.182  0.216
5U2PA      428  XRAY      1.76  0.183  0.222
5U7WA      426  XRAY      1.76  0.183  0.224
5YQ0A      326  XRAY      1.76  0.183  0.211
3FRQA      195  XRAY      1.76  0.183  0.221
1UUFA      369  XRAY      1.76  0.184  0.208
3LIDA      295  XRAY      1.76  0.184  0.222
3VBZA      118  XRAY      1.76  0.184  0.227
3VS8A      410  XRAY      1.76  0.185   0.23
1GHPA      258  XRAY      1.76  0.185  0.264
3GMFA      205  XRAY      1.76  0.186  0.229
5FQ1A      112  XRAY      1.76  0.186  0.216
6PFNB      387  XRAY      1.76  0.187  0.218
5C3UA      366  XRAY      1.76  0.188  0.209
3G0MA      141  XRAY      1.76  0.188   0.24
3LUFA      259  XRAY      1.76  0.189  0.226
2RDMA      132  XRAY      1.76  0.189   0.22
2DBYA      368  XRAY      1.76  0.191  0.221
4M23A      364  XRAY      1.76  0.192  0.227
2GMQA      118  XRAY      1.76  0.192  0.217
6DQXA      574  XRAY      1.76  0.193  0.224
3OR1A      437  XRAY      1.76  0.193  0.212
3OR1B      386  XRAY      1.76  0.193  0.212
3OR1C      105  XRAY      1.76  0.193  0.212
4UDSA      214  XRAY      1.76  0.194  0.249
5O46A      120  XRAY      1.76  0.194  0.256
5A4OA       75  XRAY      1.76  0.196  0.241
3LXZA      229  XRAY      1.76  0.197  0.229
5ZYFA       92  XRAY      1.76  0.198  0.234
5D16A      206  XRAY      1.76  0.199   0.22
3GMSA      340  XRAY      1.76    0.2  0.234
6XRBA      153  XRAY      1.76    0.2  0.225
4USKA      346  XRAY      1.76  0.201  0.237
4OSNA      129  XRAY      1.76  0.203  0.229
1TQ5A      242  XRAY      1.76  0.204   0.25
1YNBA      173  XRAY      1.76  0.206  0.243
5WX9A      131  XRAY      1.76  0.208  0.225
3CH4B      202  XRAY      1.76  0.209  0.221
2FCFA      103  XRAY      1.76  0.209  0.244
2PA8D      265  XRAY      1.76   0.21  0.247
2PA8L       92  XRAY      1.76   0.21  0.247
3DBOB      150  XRAY      1.76  0.214  0.247
3DBOA       93  XRAY      1.76  0.214  0.247
3R6AA      144  XRAY      1.76  0.218  0.234
4JJ9A      167  XRAY      1.76  0.227  0.234
3SMDA      153  XRAY      1.76  0.227  0.259
2NYUA      196  XRAY      1.76  0.228  0.281
3FPUB       70  XRAY      1.76  0.234  0.285
4JWJA      202  XRAY      1.76   0.24  0.251
5XBNA      148  XRAY     1.761  0.185  0.214
6LIYA      269  XRAY     1.761  0.209  0.244
6NU9A      184  XRAY     1.761  0.238  0.269
5EVFA      105  XRAY     1.762  0.169  0.197
4M88A      357  XRAY     1.762  0.174  0.209
5HJMA      352  XRAY     1.762  0.177  0.203
5MVRA      162  XRAY     1.762  0.182  0.209
4ESKA      102  XRAY     1.762  0.185  0.216
5YJ8A       60  XRAY     1.762  0.191  0.226
3PT8A      152  XRAY     1.762  0.198  0.226
7ACMA      178  XRAY     1.763   0.16  0.203
5X8FA      485  XRAY     1.763  0.164  0.194
3S2EA      340  XRAY     1.763  0.165  0.194
6JIZA      299  XRAY     1.763  0.165  0.192
4TL6A      253  XRAY     1.763  0.171  0.208
5XLYA      281  XRAY     1.763  0.209  0.229
5XLYB      133  XRAY     1.763  0.209  0.229
1VPHA      149  XRAY     1.764  0.191  0.222
4IQHA      130  XRAY     1.764  0.195  0.215
5VIAA      294  XRAY     1.764  0.197  0.218
6D4DA      292  XRAY     1.765   0.18  0.222
5WJEA      159  XRAY     1.765  0.181  0.217
3VC3A      344  XRAY     1.766   0.17  0.202
5TBXA       92  XRAY     1.767  0.219  0.247
4D79A      276  XRAY     1.768  0.144  0.183
4EVYA      166  XRAY     1.768  0.169  0.213
6Q2EA      337  XRAY     1.768  0.182  0.219
4EFOA       94  XRAY     1.769  0.171  0.204
4WSZA       68  XRAY     1.769  0.172  0.208
3T8KA      186  XRAY     1.769   0.18  0.215
7C45A      302  XRAY     1.769  0.194  0.221
5WO2A       97  XRAY     1.769  0.216  0.252
4LUQC      144  XRAY      1.77  0.139  0.188
3P4EA      349  XRAY      1.77   0.15  0.175
6LR3A      131  XRAY      1.77  0.152   0.18
3LDVA      255  XRAY      1.77  0.155  0.185
5GMTA      279  XRAY      1.77  0.159  0.195
5H91A      265  XRAY      1.77   0.16  0.175
5C00A      208  XRAY      1.77  0.164   0.21
5GY3A      310  XRAY      1.77  0.165  0.195
6HC6A      455  XRAY      1.77  0.166  0.203
6MLSA      456  XRAY      1.77  0.167  0.193
4XXTA      261  XRAY      1.77  0.169  0.196
4WBDA      541  XRAY      1.77   0.17  0.198
2WR8A      259  XRAY      1.77   0.17  0.217
5CXPA      390  XRAY      1.77  0.171   0.21
4H1XA      265  XRAY      1.77  0.171    0.2
5K00A      335  XRAY      1.77  0.175  0.196
4G9QA      269  XRAY      1.77  0.175  0.192
1DK0A      188  XRAY      1.77  0.175  0.213
3KYAA      496  XRAY      1.77  0.176  0.198
2VVEA      254  XRAY      1.77  0.176  0.226
5OHYA      672  XRAY      1.77  0.178  0.195
2ZYRA      484  XRAY      1.77  0.178  0.214
7K7WA      197  XRAY      1.77  0.178  0.206
3KT7A      633  XRAY      1.77   0.18  0.205
7AQFA      379  XRAY      1.77   0.18  0.213
6XRWA       97  XRAY      1.77   0.18  0.219
6XRWB       79  XRAY      1.77   0.18  0.219
1RX0A      393  XRAY      1.77  0.181  0.192
1TAZA      365  XRAY      1.77  0.182  0.193
6YC8A      265  XRAY      1.77  0.184  0.201
3OA8A      275  XRAY      1.77  0.185   0.23
4I2OA      243  XRAY      1.77  0.185  0.227
3OA8B      208  XRAY      1.77  0.185   0.23
6B2YA      401  XRAY      1.77  0.187  0.219
4C0NA      175  XRAY      1.77  0.187  0.205
2EKLA      313  XRAY      1.77  0.188   0.22
6L3MA      420  XRAY      1.77   0.19  0.216
3O0AA      219  XRAY      1.77  0.191  0.225
3N72A      164  XRAY      1.77  0.191  0.247
6K6LA      283  XRAY      1.77  0.192  0.241
2YCFA      322  XRAY      1.77  0.197  0.218
5FOLA      291  XRAY      1.77  0.198  0.232
3AJRA      317  XRAY      1.77  0.199  0.221
3IUGA      229  XRAY      1.77    0.2  0.245
6SIZA      437  XRAY      1.77  0.201  0.228
2YWRA      216  XRAY      1.77  0.204  0.219
2Z10A      194  XRAY      1.77  0.206  0.237
6ZT4A      192  XRAY      1.77  0.209  0.234
5DLBA      315  XRAY      1.77  0.211  0.245
4JCSA      286  XRAY      1.77  0.211  0.234
3W20A      273  XRAY      1.77  0.212  0.241
4HUJA      220  XRAY      1.77  0.223  0.234
2QTCA      886  XRAY      1.77  0.232  0.255
3MKCA      394  XRAY      1.77  0.237  0.241
4RVCA      245  XRAY      1.77   0.25   0.25
3HDCA      158  XRAY     1.771   0.18  0.197
4RM4A      396  XRAY     1.771  0.205  0.253
4NIRA      297  XRAY     1.772  0.194   0.22
4JISA      247  XRAY     1.772  0.208  0.241
3PT1A      471  XRAY     1.773  0.158  0.192
3V0SA      337  XRAY     1.773  0.185  0.212
3PJVD      130  XRAY     1.773  0.204  0.224
5Y6HA      119  XRAY     1.774  0.174  0.193
2GA8A      359  XRAY     1.775  0.194  0.219
5H02A      283  XRAY     1.776  0.177  0.196
5VGTA      132  XRAY     1.776  0.197  0.234
5MUZA      103  XRAY     1.776  0.217  0.281
4O5AA      345  XRAY     1.777  0.167  0.196
6U9IA      157  XRAY     1.777  0.179  0.202
2OX7A      155  XRAY     1.777  0.192  0.235
3QYJA      291  XRAY     1.778   0.15  0.179
6JLIA      133  XRAY     1.778  0.164  0.187
5XSOA      215  XRAY     1.778  0.173  0.204
5GX8A      474  XRAY     1.778  0.199  0.229
4B8EA      195  XRAY     1.779  0.174  0.194
5DMMA      310  XRAY     1.779  0.184  0.205
2PMUA      110  XRAY     1.779  0.198  0.238
6AY8A       40  XRAY      1.78  0.113  0.165
4HATC     1023  XRAY      1.78  0.137  0.173
4HATB      140  XRAY      1.78  0.137  0.173
6LCEA      436  XRAY      1.78  0.141  0.182
1VLJA      407  XRAY      1.78  0.145  0.193
3ZLBA      398  XRAY      1.78  0.147  0.192
6IPBA      191  XRAY      1.78  0.147   0.18
4MDYA      295  XRAY      1.78  0.149  0.201
3PPMA      573  XRAY      1.78  0.152  0.176
4CY9A      168  XRAY      1.78  0.154  0.171
7ARPA      238  XRAY      1.78  0.156  0.177
4XLGA      312  XRAY      1.78  0.159  0.182
6MXVA      252  XRAY      1.78  0.159  0.188
4XLGB       80  XRAY      1.78  0.159  0.182
2W5VA      375  XRAY      1.78  0.161  0.199
4CYBA      173  XRAY      1.78  0.161  0.194
3LULA      272  XRAY      1.78  0.162  0.201
4MDCA      252  XRAY      1.78  0.163   0.19
3IBZA      191  XRAY      1.78  0.164    0.2
4Z0VA      440  XRAY      1.78  0.166  0.201
7EPVA      385  XRAY      1.78  0.167  0.198
2C0DA      221  XRAY      1.78  0.167  0.204
3EJGA      193  XRAY      1.78  0.167  0.205
1X7VA       99  XRAY      1.78  0.167  0.223
1VP2A      208  XRAY      1.78  0.168  0.205
6MT7A      231  XRAY      1.78   0.17  0.206
6KXHA      339  XRAY      1.78  0.172  0.206
4NMIA      310  XRAY      1.78  0.172    0.2
4FK7A      229  XRAY      1.78  0.172  0.203
6K9ZA      318  XRAY      1.78  0.174  0.196
6D0GA      318  XRAY      1.78  0.176   0.21
6XUBA      237  XRAY      1.78  0.176  0.227
2CJSC       62  XRAY      1.78  0.176  0.219
5LTJA      714  XRAY      1.78  0.177  0.199
7EMEA      447  XRAY      1.78  0.177   0.22
4ZDSA      134  XRAY      1.78  0.177  0.218
2QW5A      335  XRAY      1.78  0.179  0.224
6MQ7A      273  XRAY      1.78  0.179  0.221
3NL9A      171  XRAY      1.78  0.179  0.222
6J9LA      125  XRAY      1.78  0.179  0.224
1QAZA      351  XRAY      1.78   0.18  0.233
6IYTA      467  XRAY      1.78  0.181  0.214
6Q9CB      418  XRAY      1.78  0.181  0.207
4DTHA      396  XRAY      1.78  0.181  0.192
4ASCA      315  XRAY      1.78  0.181  0.226
6Q9CA      155  XRAY      1.78  0.181  0.207
3GWNA      114  XRAY      1.78  0.181  0.213
6VWOA      437  XRAY      1.78  0.182  0.205
7REIA      270  XRAY      1.78  0.182  0.209
6DQ3A      230  XRAY      1.78  0.182  0.216
3F42A       99  XRAY      1.78  0.182   0.22
5ZYSA       97  XRAY      1.78  0.182  0.204
5OEIA      334  XRAY      1.78  0.183  0.217
3QS2A      188  XRAY      1.78  0.183   0.22
6WN2A      322  XRAY      1.78  0.184  0.223
2CO3A      137  XRAY      1.78  0.184  0.217
3EEIA      233  XRAY      1.78  0.185  0.215
4WK0A      452  XRAY      1.78  0.187  0.223
4WK0B      445  XRAY      1.78  0.187  0.223
5LLJA       58  XRAY      1.78  0.188  0.234
6H8FA       75  XRAY      1.78  0.191  0.237
2YCIX      271  XRAY      1.78  0.193  0.234
2C42A     1231  XRAY      1.78  0.195  0.219
6K38A      353  XRAY      1.78  0.195  0.248
3W4SA      273  XRAY      1.78  0.196   0.24
5DF6A      255  XRAY      1.78  0.196  0.248
3H2SA      224  XRAY      1.78  0.196  0.254
4QGPA      118  XRAY      1.78  0.196  0.238
6JUMA      347  XRAY      1.78  0.197  0.234
2GIYA      191  XRAY      1.78  0.198   0.22
4EHSA      155  XRAY      1.78  0.198  0.249
6WT4A      162  XRAY      1.78    0.2   0.23
3P9VA      161  XRAY      1.78    0.2   0.24
6VDQA      365  XRAY      1.78  0.201  0.228
2WKBA      125  XRAY      1.78  0.202  0.255
1YSRA      150  XRAY      1.78  0.203  0.246
4A20A       98  XRAY      1.78  0.203  0.248
7CQVB       82  XRAY      1.78  0.206  0.234
2IMRA      420  XRAY      1.78  0.211   0.23
2HU9A      130  XRAY      1.78  0.211  0.221
2V1OA      151  XRAY      1.78  0.212  0.244
3OOPA      143  XRAY      1.78  0.212  0.236
5AF3A      241  XRAY      1.78  0.213  0.254
1J24A      143  XRAY      1.78  0.215  0.246
5ZNEA      137  XRAY      1.78  0.219  0.238
1MQVA      125  XRAY      1.78   0.22  0.265
5XISA       84  XRAY      1.78   0.22  0.245
6I1HA      346  XRAY      1.78  0.223  0.251
4M6BC       55  XRAY      1.78  0.226   0.22
2BS2A      660  XRAY      1.78  0.229  0.237
2BS2C      256  XRAY      1.78  0.229  0.237
2BS2B      241  XRAY      1.78  0.229  0.237
3PDGA       98  XRAY      1.78  0.232  0.271
6FM8A       50  XRAY      1.78  0.233   0.27
2V84A      343  XRAY      1.78  0.236   0.26
4G6IA      210  XRAY      1.78  0.241  0.273
7C4FA      304  XRAY      1.78  0.243  0.283
6N7MA      110  XRAY      1.78  0.248  0.284
5Y30A      210  XRAY     1.781  0.167  0.191
5CBLA      148  XRAY     1.781  0.185  0.224
6LUIA       80  XRAY     1.781  0.204  0.242
6LKIB      171  XRAY     1.781   0.21  0.236
6TBZA      131  XRAY     1.782  0.193  0.226
5H9CA       94  XRAY     1.783   0.16  0.199
4ATMA      243  XRAY     1.783  0.189  0.218
4AP9A      201  XRAY     1.783  0.196  0.221
5WZEA      452  XRAY     1.783  0.211  0.221
6B3AA      652  XRAY     1.784  0.182  0.226
6R45A      211  XRAY     1.784  0.194   0.24
7BRAA      445  XRAY     1.785  0.176  0.201
6RARI      432  XRAY     1.785  0.234  0.264
5MZNA      749  XRAY     1.787  0.153  0.184
4AGHA      158  XRAY     1.787  0.177  0.205
3T5NA      354  XRAY     1.787  0.184   0.21
1RGXA      114  XRAY     1.787  0.206  0.245
5RL9A      601  XRAY     1.788   0.18  0.231
4DOYA      437  XRAY     1.789   0.17  0.194
5U7FA      150  XRAY     1.789  0.183   0.24
3QFWA      378  XRAY     1.789  0.246  0.284
4ZOCA      731  XRAY      1.79  0.144  0.196
6FWHA      197  XRAY      1.79  0.151   0.19
5XD0A      409  XRAY      1.79  0.153  0.188
4L1FA      383  XRAY      1.79  0.155  0.183
3RKCA      148  XRAY      1.79  0.155  0.192
7DRQA      500  XRAY      1.79  0.159  0.182
6A15A      456  XRAY      1.79  0.159  0.187
7BUHA      115  XRAY      1.79  0.159  0.201
6G1HA      345  XRAY      1.79  0.161  0.196
1WP5A      323  XRAY      1.79  0.163  0.214
1I2KA      269  XRAY      1.79  0.163  0.248
4PV2A      197  XRAY      1.79  0.164  0.207
4PV2B      131  XRAY      1.79  0.164  0.207
3H41A      311  XRAY      1.79  0.165  0.197
2VTFA      626  XRAY      1.79  0.166  0.202
5YU3A      344  XRAY      1.79  0.167  0.193
3IU6A      147  XRAY      1.79  0.167  0.202
5KOEA      476  XRAY      1.79  0.168  0.217
4F67A      265  XRAY      1.79   0.17  0.201
3GYDA      187  XRAY      1.79   0.17  0.212
3FWZA      140  XRAY      1.79   0.17  0.202
3FT1A      100  XRAY      1.79   0.17  0.222
3LVUA      258  XRAY      1.79  0.171  0.205
2QPWA      149  XRAY      1.79  0.171  0.222
6GPAA      314  XRAY      1.79  0.173   0.22
4QRLA      116  XRAY      1.79  0.173   0.22
6J0PA      582  XRAY      1.79  0.174  0.196
5N4AA      771  XRAY      1.79  0.175  0.207
5L6GA      497  XRAY      1.79  0.175  0.207
4PMHA      366  XRAY      1.79  0.176  0.226
2PVUA      272  XRAY      1.79  0.177  0.224
6AD3A      519  XRAY      1.79  0.178  0.206
5KLOA      520  XRAY      1.79  0.179  0.203
6L0AA      372  XRAY      1.79  0.179  0.207
6QE8A      211  XRAY      1.79  0.179  0.223
3BDEA      120  XRAY      1.79  0.179  0.224
4XSQA      183  XRAY      1.79   0.18  0.202
4WKZA      243  XRAY      1.79  0.181  0.223
4WKZB      191  XRAY      1.79  0.181  0.223
4XRWA      329  XRAY      1.79  0.183  0.219
4E04A      327  XRAY      1.79  0.184  0.232
4V0HA      266  XRAY      1.79  0.184  0.211
4N6QA      200  XRAY      1.79  0.185   0.22
5HWHA      187  XRAY      1.79  0.186   0.22
6GHOB      298  XRAY      1.79  0.188  0.221
6J5XA      287  XRAY      1.79  0.188  0.227
5YLBA      187  XRAY      1.79  0.188  0.233
4JA2A      122  XRAY      1.79  0.188  0.223
5LI9A      350  XRAY      1.79   0.19  0.231
2OD5A      116  XRAY      1.79   0.19  0.213
2V0HA      456  XRAY      1.79  0.192  0.214
6I31A       66  XRAY      1.79  0.192  0.213
2HFKA      319  XRAY      1.79  0.194   0.23
7M2GA      133  XRAY      1.79  0.196  0.228
5OWOA      201  XRAY      1.79  0.198  0.229
3THDA      654  XRAY      1.79  0.199  0.228
3G9KD      323  XRAY      1.79  0.199  0.242
3G9KF      177  XRAY      1.79  0.199  0.242
6X9JA      874  XRAY      1.79  0.201  0.229
2Z0QA      352  XRAY      1.79  0.203  0.243
4P8NA      480  XRAY      1.79  0.204   0.23
6EXAA      235  XRAY      1.79  0.205  0.254
4NJMA      309  XRAY      1.79  0.206  0.241
3CJDA      198  XRAY      1.79  0.211  0.243
6K10A      466  XRAY      1.79  0.214  0.239
2Q12A      265  XRAY      1.79  0.214  0.255
3OONA      123  XRAY      1.79  0.214  0.236
3RETA      101  XRAY      1.79  0.214  0.264
2EJXA      139  XRAY      1.79  0.222  0.262
2PBLA      262  XRAY      1.79  0.224   0.27
2FR1A      486  XRAY      1.79  0.227  0.257
2FQ4A      192  XRAY      1.79  0.237  0.262
6FMXA      222  XRAY      1.79  0.238  0.262
3ILVA      634  XRAY      1.79  0.244  0.268
3IQ0A      330  XRAY      1.79  0.246  0.255
7MTOA      204  XRAY     1.791  0.192  0.239
6VVHAAA    321  XRAY     1.792  0.167  0.196
3IA8A      163  XRAY     1.792  0.167  0.201
6U1RA      383  XRAY     1.792  0.169  0.195
6GUMB      209  XRAY     1.792   0.18   0.22
4Z9PA      317  XRAY     1.792  0.192  0.225
3A4MA      260  XRAY     1.792  0.211  0.253
6QURA      197  XRAY     1.792  0.217  0.267
7OTSA      297  XRAY     1.792  0.224  0.266
3MQ0A      275  XRAY     1.793  0.188  0.218
4XEKA      139  XRAY     1.793  0.209  0.231
6K5MA      171  XRAY     1.793  0.226  0.234
6EU4A      716  XRAY     1.794  0.126  0.146
6F77A      400  XRAY     1.794  0.176  0.209
6P2DA      315  XRAY     1.794  0.178   0.22
4ME3A      268  XRAY     1.794  0.184  0.218
4RNAA      324  XRAY     1.794  0.191  0.241
6SYYA      527  XRAY     1.794  0.192  0.192
6EMTA      197  XRAY     1.794  0.192  0.206
4U7IA       95  XRAY     1.794  0.192   0.22
4P17A      313  XRAY     1.794  0.197   0.26
3MH9A      218  XRAY     1.794  0.217  0.253
5KWRA      143  XRAY     1.795  0.163  0.189
6M2DA       57  XRAY     1.795  0.174  0.227
5OR3A      383  XRAY     1.795  0.177  0.207
5JMQA      446  XRAY     1.795   0.18  0.201
7C2BB      112  XRAY     1.795  0.181   0.21
7BIOA      114  XRAY     1.795  0.184  0.204
4Q9NA      298  XRAY     1.795  0.188  0.229
4F8YA      196  XRAY     1.796  0.157  0.183
4LHDA      983  XRAY     1.796  0.164  0.191
6IYYA      317  XRAY     1.796  0.168  0.204
3S5BA      249  XRAY     1.796  0.168   0.21
5HVLA      478  XRAY     1.796  0.179  0.206
6BZ9A      178  XRAY     1.796   0.18   0.21
6BZ9B       88  XRAY     1.796   0.18   0.21
3SX6A      437  XRAY     1.796  0.181   0.22
4O65A      166  XRAY     1.796  0.183  0.229
6LHYA      194  XRAY     1.796  0.193  0.226
4GNIA      409  XRAY     1.796  0.202  0.244
5BXDA      107  XRAY     1.796  0.204  0.226
6POKA      213  XRAY     1.796  0.218  0.243
4N01A      337  XRAY     1.797  0.173  0.204
4ZIEA      168  XRAY     1.797  0.186  0.229
5J9IA      104  XRAY     1.797  0.196  0.236
3TBMA       69  XRAY     1.797  0.207  0.251
5WANA      403  XRAY     1.798  0.149  0.172
5UQDA      442  XRAY     1.798  0.165  0.193
5WWWA       94  XRAY     1.798  0.174  0.209
3UCEA      223  XRAY     1.798  0.177  0.219
6J56A      129  XRAY     1.798  0.179  0.234
4QS8A      474  XRAY     1.798   0.19  0.222
5FCEA      116  XRAY     1.798  0.192  0.231
5X9KA      168  XRAY     1.798    0.2   0.25
1MJFA      281  XRAY     1.798  0.207  0.242
4HWCA       89  XRAY     1.798  0.239  0.251
5VHVA      361  XRAY     1.799  0.142  0.164
3HI7A      731  XRAY     1.799  0.162  0.189
6U8ZA      603  XRAY     1.799  0.175  0.214
4RVUA      332  XRAY     1.799  0.179  0.209
4NTLA      247  XRAY     1.799  0.181  0.213
5VLIC       40  XRAY     1.799  0.183  0.213
7VJNA       84  XRAY     1.799  0.192  0.214
5WDDA      168  XRAY     1.799  0.197  0.232
6MBAA      171  XRAY     1.799  0.204  0.234
6K7ZA      288  XRAY     1.799  0.213  0.237
3VP9A       92  XRAY     1.799  0.222  0.258
4GQZA      161  XRAY     1.799  0.229  0.276
5WASA      185  XRAY     1.799  0.245  0.287
5WASC       75  XRAY     1.799  0.245  0.287
5WASB       55  XRAY     1.799  0.245  0.287
4JD0A      251  XRAY       1.8  0.114  0.166
6XIZA      477  XRAY       1.8  0.116  0.161
5GNXA      467  XRAY       1.8  0.124  0.151
3KGRA      106  XRAY       1.8  0.124  0.157
1UXOA      192  XRAY       1.8  0.125  0.181
3OKSA      451  XRAY       1.8  0.128  0.159
3OHGA      285  XRAY       1.8   0.13  0.151
4OVYA      310  XRAY       1.8  0.133  0.175
4H41A      340  XRAY       1.8  0.134  0.158
4C9SA      282  XRAY       1.8  0.135  0.154
6NU8A      489  XRAY       1.8  0.136  0.165
1FMBA      104  XRAY       1.8  0.136  NA   
5T9YA      342  XRAY       1.8  0.137  0.168
4IIBA      841  XRAY       1.8  0.138  0.169
3EO7A      511  XRAY       1.8  0.138  0.163
3C3JA      384  XRAY       1.8  0.138  0.185
2BLFA      373  XRAY       1.8  0.138  0.169
2Q4ZA      312  XRAY       1.8  0.138  0.191
2BLFB       81  XRAY       1.8  0.138  0.169
3I09A      375  XRAY       1.8  0.139  0.174
3T3WA      279  XRAY       1.8   0.14  0.165
5AOHA      273  XRAY       1.8   0.14  0.208
4DA2A      231  XRAY       1.8   0.14  0.172
2CBPA       96  XRAY       1.8  0.141  NA   
4CITA      458  XRAY       1.8  0.142   0.18
1O5KA      306  XRAY       1.8  0.142  0.186
5IG2A      297  XRAY       1.8  0.142  0.177
3ST1A      214  XRAY       1.8  0.142  0.196
6AVDA       40  XRAY       1.8  0.142  0.205
2APRA      325  XRAY       1.8  0.143  NA   
4N4JA      500  XRAY       1.8  0.144  0.157
2Q0YA      153  XRAY       1.8  0.144  0.165
1VK8A      106  XRAY       1.8  0.144   0.19
3OS7A      341  XRAY       1.8  0.145  0.181
2QIWA      255  XRAY       1.8  0.145  0.168
4PXOA      238  XRAY       1.8  0.145  0.174
2WAOA      341  XRAY       1.8  0.146  0.191
1SVDM      110  XRAY       1.8  0.146  0.166
4Y9JA      593  XRAY       1.8  0.147  0.186
4OYDB      117  XRAY       1.8  0.147  0.178
6FLWA      144  XRAY       1.8  0.148  0.183
4JCYA       98  XRAY       1.8  0.148  0.163
3IJ3A      482  XRAY       1.8  0.149  0.177
5OLUA      346  XRAY       1.8  0.149  0.169
4OVTA      324  XRAY       1.8  0.149  0.179
4PEUA      313  XRAY       1.8  0.149  0.171
3OKXA      169  XRAY       1.8  0.149  0.182
1WADA      112  XRAY       1.8  0.149  0.219
1FASA       61  XRAY       1.8  0.149  NA   
5GQWA      793  XRAY       1.8   0.15  0.171
3C8DA      403  XRAY       1.8   0.15  0.194
3K31A      296  XRAY       1.8   0.15  0.175
4H08A      200  XRAY       1.8   0.15   0.19
4RITA      486  XRAY       1.8  0.151  0.173
3K11A      445  XRAY       1.8  0.151  0.171
3V1VA      433  XRAY       1.8  0.151  0.176
3DSSA      331  XRAY       1.8  0.151  0.194
3DSSB      331  XRAY       1.8  0.151  0.194
3OIDA      258  XRAY       1.8  0.151  0.181
3LCCA      235  XRAY       1.8  0.151  0.177
2XCJA       99  XRAY       1.8  0.151  0.173
4N0RA      513  XRAY       1.8  0.152   0.18
4GT6A      394  XRAY       1.8  0.152  0.174
2R3BA      310  XRAY       1.8  0.152  0.183
3AWDA      260  XRAY       1.8  0.152  0.184
2CB9A      244  XRAY       1.8  0.152  0.188
3L4HA      109  XRAY       1.8  0.152    0.2
4MIFA      620  XRAY       1.8  0.153  0.171
3MYVA      454  XRAY       1.8  0.153   0.19
6LJHA      386  XRAY       1.8  0.153   0.18
6DREA      366  XRAY       1.8  0.153  0.195
3FGRB      357  XRAY       1.8  0.153  0.182
5JIPA      332  XRAY       1.8  0.153  0.182
6OZBA      207  XRAY       1.8  0.153  0.194
3FGRA      202  XRAY       1.8  0.153  0.182
6DREB      172  XRAY       1.8  0.153  0.195
5OS9A      124  XRAY       1.8  0.153  0.195
5CPSA      564  XRAY       1.8  0.154  0.179
7KNFA      538  XRAY       1.8  0.154  0.194
3PIJA      526  XRAY       1.8  0.154  0.208
2VSMA      416  XRAY       1.8  0.154  0.198
3KCIA      389  XRAY       1.8  0.154  0.195
2RINA      298  XRAY       1.8  0.154   0.21
1CYDA      244  XRAY       1.8  0.154  0.202
3RPPA      234  XRAY       1.8  0.154  0.195
4FC9A      208  XRAY       1.8  0.154  0.196
4D73A      180  XRAY       1.8  0.154  0.195
3H8UA      125  XRAY       1.8  0.154  0.196
5DMHA      454  XRAY       1.8  0.155  0.185
3NX3A      395  XRAY       1.8  0.155  0.196
6GXSA      376  XRAY       1.8  0.155  0.189
5UXYA      278  XRAY       1.8  0.155  0.196
5KJPA      265  XRAY       1.8  0.155  0.184
3KREA      263  XRAY       1.8  0.155   0.19
4IA6A      591  XRAY       1.8  0.156  0.192
3WQ6A      507  XRAY       1.8  0.156  0.183
3RVAA      451  XRAY       1.8  0.156  NA   
4RNLA      343  XRAY       1.8  0.156  0.192
6CW5A      332  XRAY       1.8  0.156  0.196
5HSXA      323  XRAY       1.8  0.156  0.181
4NIMA      277  XRAY       1.8  0.156  0.186
4ZSFA      272  XRAY       1.8  0.156  0.188
1ILKA      151  XRAY       1.8  0.156  NA   
1THGA      544  XRAY       1.8  0.157  NA   
3FMCA      368  XRAY       1.8  0.157  0.187
2WAAA      347  XRAY       1.8  0.157  0.184
6NCSA      290  XRAY       1.8  0.157  0.198
3KQFA      265  XRAY       1.8  0.157  0.193
